first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,player_id,team_code,defcon_actions,defcon_actions_per_90,role,name,season_stats_gw
Bruno,Borges Fernandes,B.Fernandes,Midfielder,MUN,25.805127682008482,30.477839336075192,100.0,100.0,,10.4,48.0,0.7,22.6,235,14,6.7,7.8,0.32,0.36,0.68,,1258.0,1938.5,614.0,381.4,90.0,9,24,7,46,35,9.0,9.0,2.0,1.0,6.0,0.0,5.3266675732580495,4.64854023034616,5.003470223055905,5.0203311220104,5.806118533337965,4.672711654066708,,,,,,,449,1,9.0,9.0,Midfielder,Man Utd,38
João Pedro,Junqueira de Jesus,João Pedro,Forward,CHE,22.50629858122778,26.02795492155136,75.0,100.0,,7.4,34.8,0.4,23.9,177,1,5.1,2.8,0.5,0.07,0.57,,758.4,456.6,909.0,212.1,90.0,15,9,10,36,31,6.0,6.0,1.0,2.0,3.0,0.0,4.132871136342024,4.865761113502243,4.5698033024713585,4.339213880139614,4.598649148772546,3.521656340323578,,,,,,,249,8,6.0,6.0,Forward,Chelsea,38
Antoine,Semenyo,Semenyo,Midfielder,MCI,20.95671486147924,25.914030379523215,100.0,100.0,,8.0,46.2,0.5,25.2,202,6,5.5,4.2,0.31,0.09,0.4,,923.2,607.4,1047.0,257.7,57.0,17,6,12,52,37,2.0,3.1578947368421053,0.0,1.0,1.0,0.0,5.31028173852348,3.7495529072094973,3.747441251404222,4.297450014520081,3.851988949821963,4.957315518043973,,,,,,,82,43,2.0,3.1578947368421053,Midfielder,Man City,38
Igor Thiago,Nascimento Rodrigues,Thiago,Forward,BRE,21.431411601463925,25.906596456421767,100.0,100.0,,7.2,30.2,0.4,25.1,181,2,4.8,3.0,0.56,0.05,0.61,,1019.4,382.5,1170.0,256.9,90.0,22,1,10,50,37,5.0,5.0,2.0,2.0,1.0,0.0,4.902024768898675,4.08457308324353,3.7388890611530115,4.210784986543512,4.495139701625196,4.475184854957844,,,,,,,136,94,5.0,5.0,Forward,Brentford,38
Cole,Palmer,Palmer,Midfielder,CHE,21.226444675965592,25.38798523690364,100.0,100.0,,10.3,12.6,0.3,11.1,114,8,4.4,3.0,0.49,0.11,0.6,,536.6,393.6,547.0,147.7,90.0,10,2,3,33,24,1.0,1.0,0.0,0.0,1.0,0.0,5.8225273121059065,3.821221150226111,4.018825994640137,3.476552213469864,4.087318005523575,4.161540560938047,,,,,,,235,8,1.0,1.0,Midfielder,Chelsea,38
Gabriel,dos Santos Magalhães,Gabriel,Defender,ARS,20.807658180865005,25.379513874169312,100.0,100.0,,7.3,45.4,0.8,28.6,209,1,6.5,6.0,0.1,0.06,0.16,,824.0,128.5,298.0,125.0,45.0,3,5,18,20,30,5.0,10.0,0.0,5.0,1.0,0.0,3.8000744926150394,4.781477354468714,3.511845860903373,4.361012691206282,4.3532477816716,4.5718556933043075,,,,,,,5,3,5.0,10.0,Defender,Arsenal,38
Dominic,Calvert-Lewin,Calvert-Lewin,Forward,LEE,20.76242192029609,25.106859177575565,100.0,100.0,,5.8,13.7,0.9,24.5,142,2,4.1,5.5,0.51,0.04,0.55,,619.6,311.1,1026.0,194.7,68.0,14,2,8,34,30,3.0,3.9705882352941178,0.0,1.0,2.0,0.0,4.77119253908177,4.928401212262926,2.963261596578605,4.334611877067335,3.764954695305457,4.344437257279473,,,,,,,691,2,3.0,3.9705882352941178,Forward,Leeds,38
Jarrod,Bowen,Bowen,Forward,WHU,21.65377835655005,25.051842424073694,,,,7.8,17.5,0.6,24.0,187,12,4.9,4.5,0.19,0.14,0.33,,881.4,694.0,813.0,238.9,90.0,9,13,8,63,38,6.0,6.0,1.0,1.0,4.0,0.0,4.234338607095056,3.9592946205969395,5.349487893612845,3.9095684858471653,4.201088749398047,3.3980640675236455,,,,,,,624,21,6.0,6.0,Forward,West Ham,38
Ollie,Watkins,Watkins,Forward,AVL,20.109150744876725,25.039202432901703,100.0,100.0,,8.7,13.0,1.1,19.2,167,13,4.5,9.5,0.49,0.04,0.53,,720.2,330.9,1206.0,225.2,90.0,16,4,9,38,33,2.0,2.0,1.0,1.0,0.0,0.0,3.9414407752851996,3.82254925011033,3.7143011283414173,4.422296771511702,4.208562819628075,4.93005168802498,,,,,,,64,7,2.0,2.0,Forward,Aston Villa,38
Virgil,van Dijk,Virgil,Defender,LIV,20.58548507656938,25.021678871746683,,,,6.1,31.5,0.8,28.7,175,2,4.6,4.8,0.1,0.04,0.14,,1169.4,215.9,490.0,187.6,90.0,6,1,10,53,38,6.0,6.0,0.0,6.0,2.0,0.0,4.178944679588283,4.025310053742917,4.368912540109582,4.041115043964075,3.971202759164524,4.436193795177303,,,,,,,373,14,6.0,6.0,Defender,Liverpool,38
Mohamed,Salah,M.Salah,Midfielder,LIV,21.0468217129818,24.96875082318685,100.0,100.0,,14.0,15.2,0.1,8.8,123,6,4.6,1.8,0.35,0.23,0.58,,524.8,740.7,805.0,207.1,73.0,7,7,7,35,23,8.0,9.863013698630137,1.0,0.0,7.0,0.0,4.510574616033796,4.246395539514372,4.756314588753832,4.209962396658428,3.323574572021375,3.921929110205048,,,,,,,381,14,8.0,9.863013698630137,Midfielder,Liverpool,38
Malick,Thiaw,Thiaw,Defender,NEW,20.919254343087218,24.941642708134424,,,,4.9,4.7,0.4,25.7,126,1,3.6,1.8,0.15,0.03,0.18,,868.0,114.3,409.0,138.9,90.0,4,0,5,52,33,6.0,6.0,1.0,5.0,6.0,0.0,3.8147886800278403,4.001937184090667,4.749492500400123,3.8645017333193663,4.488534245249221,4.022388365047207,,,,,,,684,4,6.0,6.0,Defender,Newcastle,38
Morgan,Rogers,Rogers,Midfielder,AVL,21.300479258469608,24.77386087408092,100.0,100.0,,7.3,20.2,0.5,23.2,169,0,4.6,3.8,0.19,0.12,0.31,,746.2,706.2,871.0,232.0,0.0,10,8,9,48,37,0.0,0.0,0.0,0.0,0.0,0.0,4.481003744631565,5.556285844691117,3.2159078768682403,3.4601375450485903,4.5871442472300945,3.4733816156113133,,,,,,,47,7,0.0,0.0,Midfielder,Aston Villa,38
Cody,Gakpo,Gakpo,Midfielder,LIV,20.216991635715654,24.535204473984763,100.0,100.0,,7.3,5.6,0.4,17.9,131,2,3.6,3.0,0.27,0.15,0.42,,540.4,714.7,831.0,208.4,90.0,7,5,10,39,32,4.0,4.0,0.0,1.0,3.0,0.0,5.853033887226028,4.107794121121826,2.91895157049574,3.2979246249890237,4.0392874318830385,4.31821283826911,,,,,,,384,14,4.0,4.0,Midfielder,Liverpool,38
Erling,Haaland,Haaland,Forward,MCI,20.40622827472421,24.433465316190922,100.0,100.0,,14.7,62.5,0.4,16.3,239,0,6.8,5.4,0.78,0.08,0.86,,1180.4,320.1,1520.0,302.3,0.0,27,8,13,32,34,0.0,0.0,0.0,0.0,0.0,0.0,3.63615263690869,5.809361230485502,2.892653170751342,3.7856400516458035,4.282421184932872,4.027237041466713,,,,,,,430,43,0.0,0.0,Forward,Man City,38
Iliman,Ndiaye,Ndiaye,Midfielder,EVE,19.966274997011727,24.25836293203793,100.0,100.0,,6.3,4.7,0.3,20.3,128,2,4.0,2.0,0.22,0.14,0.36,,605.8,479.2,578.0,166.5,90.0,6,3,8,44,32,6.0,6.0,3.0,0.0,3.0,0.0,4.386741041631749,3.7209427531915815,3.8634828540148582,3.7119075688209993,4.28320077935254,4.292087935026202,,,,,,,299,11,6.0,6.0,Midfielder,Everton,38
Enzo,Fernández,Enzo,Midfielder,CHE,20.269191439899686,24.256788027408067,100.0,100.0,,6.5,12.3,0.9,24.2,157,1,4.4,6.0,0.33,0.21,0.54,,835.6,1063.2,747.0,264.6,90.0,10,5,8,46,35,7.0,7.0,1.0,2.0,4.0,0.0,4.644626438724844,3.8363470239076727,3.47134178793655,4.210387612322407,4.106488577008213,3.9875965875083823,,,,,,,237,8,7.0,7.0,Midfielder,Chelsea,38
